hw_synset_7451	戏剧性、戏剧化	形容词，引人注目的表现或变化。
hw_synset_3514	名优、名伶	名词，指著名的戏剧演员，具有较高的艺术成就。
hw_synset_24711	后账	名词，未结清的责任或事件。
hw_synset_2347	小姨子、嫂嫂、弟妹、嫂、姑嫂	名词，与兄弟的配偶相关的女性称谓
hw_synset_35271	河套	名词，被水域包围的地方。
hw_synset_28294	层	名词，事物的组成部分或层次。
hw_synset_47477	麦穗	名词，谷物的花果部分。
hw_synset_7272	横蛮无理、蛮横无理、蛮悍	形容词，不讲道理、粗暴无理的行为。
hw_synset_3471	引柴、火绒、火种、火捻	名词，引火用的小木片、小竹片或秫秸等。有的地区叫引火柴。
hw_synset_13233	捷报	名词，胜利的消息或好消息。
hw_synset_37238	班子	名词，一个组织或团队的成员。
hw_synset_19979	低收入	名词，收入水平较低的人群。
hw_synset_863	麻酱、芝麻酱	名词，用炒熟芝麻制成的香味调料酱
hw_synset_11669	奇闻	名词，奇特的消息或事件。
hw_synset_47479	麦芽	名词，谷物的发芽部分。
hw_synset_5719	开通、通、打通	动词，消除阻碍，使事物相互连接或畅通。
hw_synset_47239	高处	名词，位于上方的地方。
hw_synset_12712	家装	名词，家庭房屋的装饰与布置。
hw_synset_7380	名不见经传、无名、无声无臭、无声无息、不见经传、不知名	形容词，不为人知的事物或人物。
hw_synset_7542	家喻户晓、头面、众所周知、尽人皆知、名、享有声誉、名声显赫、大名鼎鼎	形容词，广为人知的著名人物或事物。
hw_synset_8571	芒草	名词，一种常见的草本植物。
hw_synset_27555	官商	名词，政府与商界之间的关系。
hw_synset_1665	小丑、丑角、丑	名词，戏曲中扮演滑稽角色的人物或角色类型
hw_synset_10351	忙活	名词，忙于处理紧急事务。
hw_synset_3294	药店、药铺、药房	名词，出售药品的商店。
hw_synset_9678	哈萨克族	名词，中国的一个民族。
hw_synset_165	病病歪歪、病恹恹	形容词，形容身体虚弱、无力的状态
hw_synset_63	悠谬、悖谬、背谬、荒谬、乖谬	形容词，极端错误或不合情理的状态或行为
hw_synset_25544	国难	名词，国家面临的重大危机。
hw_synset_22468	功	名词，物理学中的结果或效果。
hw_synset_30099	情诗	名词，表达爱情情感的诗歌。
hw_synset_8935	七绝	名词，一种古典诗歌形式，包含七个字的四句诗。
hw_synset_1732	亲友、亲朋	名词，与亲戚和朋友相关的社交关系
hw_synset_7814	外、外部	形容词，在外部或外面的状态。
hw_synset_7679	内、内在	形容词，内部的、内部存在的。
hw_synset_19887	传统	形容词，遵循历史习俗的方式或观念。
hw_synset_29771	忙音	名词，繁忙的交流声。
hw_synset_4108	智库、脑库	名词，提供专业咨询服务的组织或机构
hw_synset_21531	军邮	名词，军队相关的邮政事务。
hw_synset_45713	间歇	名词，时间上有间断的状态。
hw_synset_2720	剑侠、武侠、剑客、侠客	名词，精于武艺、讲义气的人物形象
hw_synset_47245	高层	名词，建筑物的上部区域。
hw_synset_7574	原始、史前	形容词，早于历史的时期或状态。
hw_synset_2067	西方、西边、西面、西	名词，指向太阳落下去的一侧或方位
hw_synset_9668	东边、东侧	名词，位于东方的区域。
hw_synset_3942	清秋、寒秋、小春、暮秋、晚秋	名词，秋季的后期，气候逐渐变冷的时节
hw_synset_3181	初秋、早秋	名词，秋季开始的早期阶段
hw_synset_429	慢悠悠、徐缓、迟滞、缓慢、黏糊	形容词，形容动作或进程缓慢、不迅速的状态
hw_synset_7011	高速度、高速	形容词，快速的运动或行进状态。
hw_synset_38524	碎砖	名词，建筑物的残余材料。
hw_synset_9579	梵文	名词，一种古老的印度语言。
hw_synset_34693	殖民地	名词，被外部势力控制的地区。
hw_synset_14596	走投无路、上天无路，入地无门、别无良策、没得选择、百般无奈、一点辙都没有、无可奈何、无奈、一点招都没有、别无他法、别无选择、一点办法都没有	动词，处于困境，无法找到解决办法。
hw_synset_332	黎黑、黑乎乎、黧黑、黑、乌	形容词，形容颜色黑暗或深黑的状态
hw_synset_37234	班主	名词，负责管理和组织表演活动的人。
hw_synset_19924	伪科学	名词，缺乏科学依据的知识。
hw_synset_38281	真知	名词，真实的知识。
hw_synset_13644	泰	名词，东南亚的一个国家。
hw_synset_15327	称、趁	动词，拥有或利用的状态。
hw_synset_43986	转基因	名词，经过基因改变的生物。
hw_synset_31157	招架不住	动词，无法抵挡或应对。
hw_synset_31158	招架得住	动词，能够抵挡或应对挑战。
hw_synset_36092	渔猎	名词，捕捉动物的活动。
hw_synset_10271	书屋	名词，出售和购买书籍的场所。
hw_synset_12138	归途	名词，回家的旅程。
hw_synset_22173	初年	名词，早期阶段或时期。
hw_synset_33679	末年	名词，晚期的时间阶段。
hw_synset_1587	水垢、水锈、水碱	名词，硬水中矿物质附着形成的白色块状或粉末状物质
hw_synset_1339	柳琴、箜、阮咸	名词，一种四根弦的弦乐器，形状类似琵琶，但比琵琶小。
hw_synset_39453	简装	形容词，简单装帧的书籍。
hw_synset_20885	党务	名词，与政治和团体相关的事务。
hw_synset_40025	绝笔	名词，最后的文字作品。
hw_synset_3404	芳邻、友邻	名词，友好、和睦的邻居关系
hw_synset_8952	万国	名词，各国的集合体。
hw_synset_12055	咖啡厅	名词，提供饮品的商业场所。
hw_synset_15795	方枘圆凿、圆凿方枘	动词，不匹配的形状或适配。
hw_synset_28872	平底	名词，平坦的底部或基础。
hw_synset_26671	天上	名词，天空中的空间。
hw_synset_13433	有效期	名词，某物可使用的时间段。
hw_synset_17667	上坡路	名词，向上延伸的道路。
hw_synset_607	瘠薄、硗薄、薄、瘦、贫瘠	形容词，土地缺乏养分和水分，无法支持植物生长
hw_synset_28666	市民	名词，居住在城市的居民。
hw_synset_22388	剧情	名词，故事情节的展示与发展。
hw_synset_16468	满含、富于、饱含、富含	动词，充满多种成分。
hw_synset_37780	略带	动词，稍微包含一些。
hw_synset_40865	胡	名词，过去的人。
hw_synset_11663	堂	名词，药物交易的场所。
hw_synset_43201	谗佞	名词，诽谤他人的人。
hw_synset_34287	检字法	名词，一种按次序排列文字的系统。
hw_synset_34410	横批	名词，横向书写的标语或题词。
hw_synset_8812	一面之辞、一面之词	名词，片面的说法或观点。
hw_synset_3519	皇后、王后、正宫	名词，帝王的配偶及其居所的统称
hw_synset_4527	结余、积蓄、节余	名词，剩余的款项或积存的资金
hw_synset_41997	虎口	名词，猛兽的嘴部。
hw_synset_18424	丝腺	名词，昆虫体内的分泌腺。
hw_synset_7220	不成样子、不成体统	形容词，不合适的状态或行为。
hw_synset_2035	抗生素、抗菌素	名词，抑制或杀灭微生物的化学物质，用于治疗和消毒。
hw_synset_3390	原盐、大盐	名词，由海水制成的盐，含杂质较多。
hw_synset_150	诡秘、黑、隐秘、贼头贼脑、暗	形容词，与隐蔽、秘密和不明朗相关的状态或行为
hw_synset_30717	批发商	名词，从事大宗商品销售的商人。
hw_synset_31411	换向器	名词，改变机器方向的部件。
hw_synset_1774	卡其、咔叽	名词，一种质地较密厚的斜纹布料
hw_synset_7033	一连、一连气儿、不间断、一次次	形容词，持续不断的状态或行为。
hw_synset_6604	趸批、批发、趸	动词，以整批方式进行商品的买卖活动
hw_synset_267	对、端正、正确、对头、不错	形容词，符合标准或事实的状态或性质
hw_synset_62	错、错误、不对、差、左	形容词，与事实不符或不准确的状态或情况
hw_synset_11265	军管	名词，军事管理事务。
hw_synset_30006	恶作剧	名词，捉弄他人的行为。
hw_synset_12331	墙垛、墙头	名词，建筑物的顶部或边缘部分。
hw_synset_22864	北门	名词，建筑物的北侧入口。
hw_synset_22664	劳保	名词，与工作相关的保险保障事务。
hw_synset_3114	山鸡、野鸡、雉	名词，鸟，外形像鸡，雄的尾巴长，羽毛美丽，多为赤铜色或深绿色，有光泽，雌的尾巴稍短，灰褐色。善走，不能久飞。种类很多，都是珍禽，如血雉、长尾雉等。通称野鸡，有的地区叫山鸡。
hw_synset_24608	同族元素	名词，同一族群的物质成分。
hw_synset_42165	行李寄存处	名词，存放旅客行李的地方。
hw_synset_151	蕴藉、隐性、含蓄	形容词，指含义深刻而不直接显露的特征或状态
hw_synset_13048	脑筋	名词，思考和解决问题的能力。
hw_synset_44984	酱色	形容词，深红棕色的颜色。
hw_synset_47122	驼色	形容词，一种浅棕色，带有红色调。
hw_synset_2702	佳节、节日、节	名词，庆祝或纪念的特殊日子，通常具有传统意义
hw_synset_9923	伊	名词，指代亚洲的一个国家或地区。
hw_synset_12092	商场	名词，进行商业活动的场所。
hw_synset_41803	菌体	名词，植物的生理部分。
hw_synset_7121	全日、全日制	形容词，全天候的工作或学习状态。
hw_synset_2726	方圆、附近、近前、四近、左近	名词，指靠近某个地方或事物的状态或位置
hw_synset_3959	尿、尿液、小便	名词，人和动物体内，由肾脏产生，从尿道排泄出来的液体。
hw_synset_2468	大粪、大便、屎、粪便、粪	名词，人的粪便。
hw_synset_39182	窗口	名词，开口或开口部分，用于观察或通风。
hw_synset_25295	回民	名词，中国的一个民族群体。
hw_synset_1680	柑、柑子	名词，一种果实多汁、味道甜酸的常绿植物
hw_synset_43764	足丝	名词，鱼的脚部。
hw_synset_44375	进退	名词，行为的选择与反应。
hw_synset_2099	配方、方子、方剂、方、处方	名词，写着药方的纸。
hw_synset_14396	革命家	名词，推动政治变革的人。
hw_synset_10977	妙药	名词，有效的药物。
hw_synset_35890	涡轮螺旋桨发动机	名词，用于飞行器的螺旋桨驱动发动机。
hw_synset_40067	继承权	名词，获得财产或权利的合法资格。
hw_synset_13688	直选、海选	名词，直接选拔的方式。
hw_synset_28565	己	名词，自我意识的象征。
hw_synset_2717	供需、供求	名词，供给和需求(多指商品)。
hw_synset_288	高妙、纤巧、工巧、工致、讲究	形容词，形容事物精细、巧妙且美好的特征
hw_synset_25748	地政	名词，土地事务的管理与处理。
hw_synset_40051	统配	名词，整齐分配的事务。
hw_synset_11133	通篇、全篇	名词，整篇文章的内容。
hw_synset_45355	钸	名词，一种金属材料，具有平面特性。
hw_synset_3313	雕塑、雕花、雕饰、雕刻、版刻	名词，通过雕刻技法创作的艺术作品或装饰。
hw_synset_39268	童便	名词，儿童的尿液。
hw_synset_25731	地壳	名词，地球表面的固体外层。
hw_synset_2974	关口、险隘、险关、要隘	名词，重要且危险的通道或关口
hw_synset_34216	桂皮	名词，一种香料，来源于桂树的树皮。
hw_synset_11053	先知	名词，能够预言未来的人。
hw_synset_34924	民间	名词，社区中的地方或团体。
hw_synset_3923	家居、家	名词，与家庭和居住相关的概念
hw_synset_26754	太阳地儿	名词，源自天体的光亮位置。
hw_synset_6997	不值一文、一钱不值、一文不值	形容词，毫无价值的事物。
hw_synset_6925	金不换、价值千金、无价、价值连城	形容词，极其珍贵的事物。
hw_synset_1910	山芋、白薯、红薯、番薯、地瓜	名词，甘薯的不同名称，指同一种植物的块根。
hw_synset_2258	书斋、书房	名词，用于读书和写字的房间
hw_synset_308	丰实、丰裕	形容词，富足和充实的状态或性质
hw_synset_5188	遭际、吃、负、挨、蒙受	动词，遭遇不幸或损害的状态或过程
hw_synset_27851	密使	名词，秘密派遣的外交官。
hw_synset_4444	焊料、焊剂、焊药	名词，焊接过程中用于清洁和填充的材料或物质
hw_synset_928	花、鲜花	名词，植物的繁殖器官，通常色彩鲜艳且有香气。
hw_synset_29820	急先锋	名词，积极引导行动的人。
hw_synset_11039	宏元素、大量元素	名词，构成生物体的主要化学元素。
hw_synset_41987	藤椅	名词，一种用木材制成的坐具。
hw_synset_10392	茅台酒	名词，一种著名的中国白酒。
hw_synset_36657	照会	名词，外交上通知的正式文件。
hw_synset_29872	性格外向者	名词，喜欢与人交往的个体。
hw_synset_38314	睚眦	名词，小事引发的愤怒。
hw_synset_9144	鳕	名词，一种可食用的鱼。
hw_synset_34488	歌女	名词，以歌声娱乐他人的女性。
hw_synset_5629	告辞、拜别	动词，表示告别或离开的礼貌用语
hw_synset_5555	撞见、聚会、觌面、约集、见	动词，人与人之间的相见或聚集行为
hw_synset_21100	公务舱	名词，较贵的飞机座位。
hw_synset_13014	影坛	名词，电影和表演艺术的领域。
hw_synset_41329	航空兵	名词，在空中作战的军人。
hw_synset_31230	拿得动	动词，有能力去拿。
hw_synset_31226	拿不动	动词，无法握住或支撑的状态。
hw_synset_8211	勇敢、奋勇	副词，无畏且坚定的态度。
hw_synset_8244	怯然、怯生生	副词，胆怯、不敢面对的样子。
hw_synset_24305	可解决	形容词，能够处理并达成目标。
hw_synset_32737	无法解决	形容词，无法成功处理问题。
hw_synset_15818	减、减去、减掉	动词，减少某个数值或量。
hw_synset_15188	加在一起、相加、累加	动词，将数值或量合并为总和。
hw_synset_9625	糸、缣	名词，用于制作衣物的材料。
hw_synset_11949	选项	名词，替代结果或保留的选项。
hw_synset_18343	丛山	名词，一片高低起伏的山地。
hw_synset_4072	铁道、铁路	名词，供火车行驶的有钢轨的道路
hw_synset_8816	印第安人	名词，美洲原住民。
hw_synset_22824	北京猿人	名词，古代人类的一种，生活在北京地区。
hw_synset_11132	全程	名词，整个过程的全部。
hw_synset_45843	阳坡	名词，朝向阳光的坡地。
hw_synset_35199	沉积层	名词，地球表面形成的层状物质。
hw_synset_4379	油污、油垢	名词，含油的污垢或污物
hw_synset_2136	红糖、黄糖	名词，用甘蔗糖浆熬制的褐色糖类，供食用。
hw_synset_27755	害虫	名词，对植物或动物有害的昆虫。
hw_synset_38036	益虫	名词，对生态有益的昆虫。
hw_synset_41738	药材	名词，用于制药的材料。
hw_synset_2589	会计、账房	名词，负责管理和记录财务的专业人员
hw_synset_1306	蚂蚁、蚁、蚍蜉	名词，体小、群居的昆虫，通常有分工和社会结构
hw_synset_9539	技校	名词，提供中等职业教育的学校。
hw_synset_3488	右首、右面、右手、右、右边	名词，指向右侧的方位或位置
hw_synset_3651	左首、左边、左、左面	名词，指向左侧的方位或位置
hw_synset_43085	说客	名词，劝说他人的人。
hw_synset_1105	蟾宫、月宫、太阴、月、蟾蜍	名词，与月亮相关的天体或传说中的宫殿。
hw_synset_47459	鹿茸	名词，鹿的角，常用于中药材。
hw_synset_13393	阴暗面	名词，事物的不利或负面方面。
hw_synset_24948	和约	名词，和平协议或条约。
hw_synset_3885	字义、词义	名词，词或字所表达的意义和内涵
hw_synset_12952	底部、底	名词，物体的下方部分。
hw_synset_5932	晒、翻晒	动词，在阳光下吸收光和热的过程
hw_synset_6088	滋润、濡湿、润、浞、沾	动词，使物体增加水分或湿润的状态
hw_synset_1416	马口铁、白铁	名词，表面处理的铁皮，具有防锈特性
hw_synset_11629	阳痿	名词，男性在性交时无法勃起的疾病。
hw_synset_1543	侄子、侄、表侄、外甥	名词，男性亲属的儿子，通常指弟兄或姐妹的孩子
hw_synset_11914	波、变	名词，突发的变化。
hw_synset_8988	菟丝、菟丝子	名词，一种药用植物，常用于中医。
hw_synset_12882	巴	名词，中东地区的一个国家或地区。
hw_synset_1925	菰、茭白	名词，一种多年生水生植物，嫩茎可食用。
hw_synset_13035	私话	名词，秘密交流的言语。
hw_synset_41937	蓖麻油	名词，从蓖麻种子提取的油，常用于药物和工业。
hw_synset_28187	少说	动词，说得很少。
hw_synset_16358	费话、费嘴皮子、多费唇舌、费唾沫、多费嘴舌、费口舌、费唇舌、费嘴舌	动词，多余的言语。
hw_synset_46997	首相	名词，国家的最高行政官。
hw_synset_24380	史略	名词，对历史事件的简要叙述。
hw_synset_9777	苣、莴苣	名词，一种可食用的绿叶蔬菜。
hw_synset_24	赤忱、真挚、诚挚、赤诚、笃诚	形容词，(惓惓)形容恳切。
hw_synset_7329	不敬、无诚意	形容词，缺乏尊重和真诚的态度。
hw_synset_10857	眼皮子底下、眼底下、眼皮底下	名词，在眼睛附近的地方。
hw_synset_6085	升级、提升、拔高	动词，使职位或水平提高的过程或行为
hw_synset_43520	赋形剂	名词，用于药物制剂的辅助材料。
hw_synset_36050	清油	名词，一种用于烹饪的液态植物油。
hw_synset_46040	院	名词，官方机构或场所。
hw_synset_10829	闭经、经闭	名词，女性停止月经的现象。
hw_synset_8786	助力	名词，提供支持或帮助的行为。
hw_synset_7995	深黄色、深黄	形容词，浓烈的黄色。
hw_synset_7929	淡黄、浅黄、浅黄色	形容词，颜色较浅的黄色。
hw_synset_9104	铴	名词，一种用于演奏音乐的乐器。
hw_synset_276	旷、巨大、庞大、硕大无朋、大型	形容词，形状、规模或数量等方面非常大的状态或特征
hw_synset_15163	阙如、阙少	动词，缺乏或不足的状态。
hw_synset_14443	鱼卵、鱼子	名词，鱼的卵或胚胎，常用作食品。
hw_synset_20661	储备	名词，存放的物质或资源。
hw_synset_21227	关	动词，与某物相距或关闭的状态。
hw_synset_29213	开	动词，使物体处于无阻状态。
hw_synset_29924	总纲	名词，生物学中的群体概念。
hw_synset_17726	上调	动词，提高价格或经济水平。
hw_synset_17816	下调	动词，降低价格或减少经济负担。
hw_synset_32964	明抢	名词，公开抢夺财物的行为。
hw_synset_22549	加法	名词，将数值相加的数学运算。
hw_synset_11525	史实、史事	名词，历史上发生的事情。
hw_synset_15148	攻讦、讦	动词，揭露他人过失或秘密的行为。
hw_synset_42972	诗集	名词，诗歌的合集或文集。
hw_synset_11800	雪茄	名词，一种烟草制品，通常卷成圆柱形。
hw_synset_8486	菜油	名词，植物提取的食用油。
hw_synset_26528	大块头	名词，体型庞大的人。
hw_synset_23360	卷轴	名词，一种可卷起的文书。
hw_synset_7183	不大可能、没门儿、谈不到、不可能、谈不上、叵、无可	形容词，无法实现的事情。
hw_synset_553	或然、可能	形容词，可以实现的；能成为事实的。
hw_synset_10241	肝硬变、肝硬化	名词，肝脏组织变硬的疾病。
hw_synset_15562	宣泄、宣	动词，释放情感或压力。
hw_synset_20246	便秘	名词，排便困难的疾病现象。
hw_synset_11967	右派分子、右翼分子、右派	名词，支持保守或传统政治立场的人。
hw_synset_32576	新闻纸	名词，用于印刷新闻的纸张。
hw_synset_47640	龙宫	名词，神话中的海底宫殿。
hw_synset_16265	雪后新霁、霁雪	动词，雪后晴朗的天气。
hw_synset_47448	鹤	名词，一种长颈长腿的鸟类。
hw_synset_59	铺张、奢华、奢靡、侈靡、奢侈	形容词，追求奢华和浪费的生活方式
hw_synset_7848	复合型、复合式、复合	形容词，由多个部分组成的事物。
hw_synset_551	浅近、朴素、浅显、简朴、简单	形容词，内容简单易懂，风格朴素不华丽。
hw_synset_8991	车前子、车前草	名词，一种药用植物，常用于草药治疗。
hw_synset_44148	辰	名词，中国的时间单位或符号。
hw_synset_13497	果园	名词，种植水果树的地方。
hw_synset_21408	内陆	名词，位于陆地中心的地区。
hw_synset_30738	承保人	名词，承担风险的人。
hw_synset_38615	社会	名词，人们共同生活和互动的环境。
hw_synset_4684	阴骘、阴德、阴功	名词，暗中行善，积累功德的行为或状态
hw_synset_24404	叶绿素b	名词，植物中参与光合作用的色素。
hw_synset_591	清白、无辜	形容词，没有罪。
hw_synset_7991	犯有罪行、有罪	形容词，被判定为违法行为的人。
hw_synset_8523	朝	名词，特定历史时期或朝代。
hw_synset_10204	乐天派、乐观主义者	名词，积极看待生活的人。
hw_synset_27319	存粮	名词，储存的可食用粮食。
hw_synset_29730	心肌炎	名词，心脏发炎的疾病。
hw_synset_25474	国耻	名词，国家遭受的耻辱现象。
hw_synset_9028	论旨角色、语义角色	名词，在语言中承担特定功能的角色。
hw_synset_2618	废人、残废	名词，失去工作能力或被认为无用的人
hw_synset_9165	影视	名词，与表演相关的视觉艺术作品。
hw_synset_44019	轮唱	名词，轮流演唱的表演形式。
hw_synset_2830	储户、存户	名词，在金融机构存款的个人或团体
hw_synset_47342	鬼胎	名词，邪恶的目的或意图。
hw_synset_10384	影院	名词，观看电影的场所。
hw_synset_2083	多数、大多数	名词，较大的数量。
hw_synset_8513	一点点、一丝	名词，少量的东西。
hw_synset_47600	鼠咬成的洞	名词，鼠类啃咬造成的孔洞。
hw_synset_13243	起诉状	名词，控告他人的法律文书。
hw_synset_28578	巳	名词，中国传统历法中的一个地支符号。
hw_synset_10026	快书	名词，中国的表演艺术形式。
hw_synset_1114	星火、火星、流星、贼星	名词，与星际物体相关的短暂发光现象
hw_synset_1738	世兄、家兄	名词，对兄长的尊称，表示亲近与尊重
hw_synset_11167	公文	名词，正式的文书或文件。
hw_synset_1052	甾、类固醇	名词，有机化合物的一类，广泛存在于动植物体内，一般具有重要的生理作用，如。也叫类固醇。
hw_synset_3922	害人虫、蠹虫	名词，比喻对他人或集体造成危害的人
hw_synset_3613	答案、答词	名词，对问题的回应或解答的表达方式
hw_synset_4196	门插关儿、栓、闩、键、插销	名词，用于固定门窗以防开启的装置或部件
hw_synset_4448	牌照、车牌	名词，车辆登记和行驶的标识或凭证
hw_synset_7514	白净、白白净净、皙	形容词，肤色洁白、光滑。
hw_synset_19045	乳胶	名词，由植物提取的弹性材料。
hw_synset_4169	抽水机、水泵	名词，用于抽水或压水的设备或机器
hw_synset_1998	烟霞、烟霭	名词，烟雾与云霞的结合，常用于比喻遮蔽。
hw_synset_42024	虫	名词，特指某种小动物或生物。
hw_synset_1387	玄学、形而上学	名词，探究宇宙根本原理的哲学领域
hw_synset_1773	布、布匹、布料、匹头	名词，用于制作衣物的各种织物材料的统称
hw_synset_25841	坏话	名词，对他人进行贬低或批评的言辞。
hw_synset_30397	战鼓	名词，用于军事的打击乐器。
hw_synset_17311	骨肉团聚、骨肉团圆	动词，家庭成员团聚的情景。
hw_synset_17310	骨肉分离、骨肉离散	动词，家庭成员之间的分离与离散。
hw_synset_14504	寿终正寝、老死、寿终	动词，自然死亡的状态。
hw_synset_7034	直达、中途不停、直通	形容词，不经停地到达目的地。
hw_synset_7314	难相处、难以沟通	形容词，不易与人交往。
hw_synset_14455	黎	名词，黎巴嫩的一个国家。
hw_synset_39272	童工	名词，未成年从事工作的儿童。
hw_synset_39043	穆斯林	名词，信奉伊斯兰教的人。
hw_synset_15007	搭卖、搭售	动词，捆绑销售商品。
hw_synset_7123	茏、叠翠	形容词，繁茂的绿色植物。
hw_synset_30010	恶少	名词，年轻的恶人。
hw_synset_627	规整、规正	形容词，合乎一定的规格；规矩整齐。
hw_synset_7666	畸、畸形	形容词，形状不正常或不符合标准的状态。
hw_synset_7050	目不忍视、惨不忍睹、目不忍睹	形容词，令人难以直视的悲惨情景。
hw_synset_9116	鲻	名词，一种鱼类。
hw_synset_45193	野菜	名词，自然生长的可食用植物。
hw_synset_32315	文字狱	名词，对文学作品进行审查和惩罚的行为。
hw_synset_11353	艺术家	名词，从事艺术创作的人。
hw_synset_30270	戏迷	名词，热爱观看表演艺术的人。
hw_synset_1449	上半场、上半时	名词，比赛的前半段时间，通常称为上半时或上半场。
hw_synset_1559	下半时、下半场	名词，球类比赛的后半段时间
hw_synset_42419	西半球	名词，地球的西侧区域。
hw_synset_18364	东半球	名词，地球的东侧区域。
hw_synset_19276	交际花	名词，善于社交的女性。
hw_synset_26336	外省	名词，来自其他省份的人或事物。
hw_synset_32173	教父	名词，天主教男性领袖。
hw_synset_14568	拥进、拥入	动词，进入某个地方或空间。
hw_synset_4092	驭手、御手	名词，驾驭和控制牲畜或车辆的人
hw_synset_2108	科目、术科、科、课、学科	名词，按性质划分的学术或业务类别
hw_synset_28304	层次结构	名词，分层组织的结构。
hw_synset_41511	花押	名词，表示同意的符号。
hw_synset_44864	邮件	名词，通过互联网发送的信件。
hw_synset_25484	国葬	名词，为国家举行的葬礼，表达哀悼与尊敬。
hw_synset_7036	基础扎实、厚积薄发、有凭有据	形容词，知识和能力基础牢固。
hw_synset_13092	情种	名词，能够勾引女性的人。
hw_synset_24693	后方	名词，敌军后方的区域。
hw_synset_12698	家底	名词，家庭的财富或资产。
hw_synset_4387	脚注、注脚	名词，对文本进行解释或补充说明的文字
hw_synset_24656	名手	名词，著名的文学人。
hw_synset_14320	邮政	名词，与邮寄相关的事务。
hw_synset_327	晚、迟、滞缓	形容词，比规定的时间或合适的时间靠后。
hw_synset_8899	香橼	名词，一种柑橘类果树。
hw_synset_40519	老总	名词，公司或组织的最高领导者。
hw_synset_3162	意见、述评、批语、按语、评论	名词，对事物进行评价和看法的文字表达
hw_synset_14001	纳粹	名词，德国的极端民族主义政治团体。
hw_synset_598	贞洁、纯洁	形容词，纯粹清白，没有污点；没有私心。
hw_synset_18204	不贞洁	形容词，缺乏贞洁的状态。
hw_synset_1261	艾蒿、艾	名词，多年生草本植物，叶子有香气，常用于药用和灸法。
hw_synset_34779	毒案	名词，与毒品相关的犯罪事件。
hw_synset_542	薄、单薄	形容词，物体上下距离小，通常与厚度相对。
hw_synset_7454	层层叠叠、层层、重重、里三层，外三层	形容词，多层次重叠的状态。
hw_synset_1064	一瞥、眼波	名词，瞬间看到的目光或印象
hw_synset_5403	溜、蹓	动词，悄悄离开或进入的动作
hw_synset_8341	房颤	名词，心脏不规则跳动的疾病。
hw_synset_9299	群殴	名词，多人一起打斗的情况。
hw_synset_9544	高职	名词，中等职业教育机构。
hw_synset_18294	专责	名词，特定职责的专门工作。
hw_synset_2248	书信、字条、鸿雁、函、信	名词，以书面形式传达信息的文书或纸张
hw_synset_23981	口器	名词，昆虫或蠕虫的口部结构。
hw_synset_3807	橡胶树、橡	名词，产橡胶的常绿乔木，原产于热带地区。
hw_synset_33718	本行	名词，借入资金的场所。
hw_synset_960	正室、正房	名词，指有妾的人的主要妻子或房屋。
hw_synset_15236	卖人情、做人情	动词，为他人提供帮助或服务。
hw_synset_2304	马骡、骡、骡子	名词，驴与马交配所生的杂种动物，体力强大。
hw_synset_44532	送行者	名词，送别他人的人。
hw_synset_19849	会见者	名词，参加会面的个人。
hw_synset_32444	新人	名词，刚加入的人。
hw_synset_520	剔透、晶莹	形容词，明亮、清澈且透明的状态或特征
hw_synset_44941	配楼	名词，次要的房屋。
hw_synset_3946	对面、对过儿	名词，在某一地点的另一侧或另一边。
hw_synset_1335	号、号角、圆号、铙钹、铙	名词，军队或乐队里所用的西式喇叭。
hw_synset_20610	停滞阶段	名词，过程中的暂停状态。
hw_synset_6162	降低、挫、压低	动词，使某物处于较低状态或水平
hw_synset_26073	增加	动词，使数量或程度变得更高。
hw_synset_13722	透析	名词，通过医疗手段清除体液中的废物。
hw_synset_21475	军医	名词，军队中的医生。
hw_synset_350	刷白、素、皑皑、粉、白	形容词，颜色纯净、明亮，通常与洁白相关的状态或特征
hw_synset_46646	顽童	名词，调皮捣蛋的孩子。
hw_synset_12612	字幕	名词，视频或电影中的文字说明。
hw_synset_10936	信鸽	名词，用于传递信息的鸟。
hw_synset_8885	巴豆	名词，一种植物，常用于药用。
hw_synset_45376	铁工	名词，从事金属加工的工人。
hw_synset_35966	深壑	名词，深而陡的山谷。
hw_synset_10060	病理	名词，与疾病相关的医学知识。
hw_synset_192	耐心、耐烦	形容词，不急躁，能够平静地对待事物的态度
hw_synset_12024	编后记、编后	名词，书籍或文章的结尾部分。
hw_synset_7038	踏踏实实、踏实、塌实	形容词，稳重可靠的态度或行为。
hw_synset_37749	留学生	名词，在外国学习的学生。
hw_synset_2058	糙米、粗粝	名词，未经过精细加工的大米，质地粗糙。
hw_synset_4132	故伎、惯技、故技	名词，常用的老办法或手段，带有贬义色彩
hw_synset_408	国营、官办、国立	形容词，由国家或政府投资、经营或设立的机构或企业
hw_synset_14342	钻子、钻头	名词，用于打孔的工具部件。
hw_synset_3054	洋葱、葱头、葱	名词，一种常见的植物，通常用于烹饪和调味。
hw_synset_2185	乌龙茶、铁观音	名词，一种半发酵的黑褐色茶叶，属于乌龙茶类。
hw_synset_41564	苏区	名词，历史上革命活动的地区。
hw_synset_8813	平地	名词，地面平坦的区域。
hw_synset_3888	季、季节	名词，一年中具有特定气候和特点的时间段
hw_synset_7152	至高无上、至上	形容词，最高的地位或权威。
hw_synset_42641	触觉	名词，感知物体的能力。
hw_synset_7677	勾魂、具有吸引力	形容词，极具吸引力的事物或人。
hw_synset_28632	巷尾	名词，街道的尽头。
